Name,IATA,countryName,activeStatus
Norwegian Long Haul AS,DU,Norway,Y
TransNusa Air,M8,Indonesia,Y
Tomp Airlines,ZT,Chile,Y
OneJet,J1,United States,Y
Global Airlines,0G,Argentina,Y
International Flying Service,F4,Italy,N
Air Vistara,UK,India,Y
TransRussiaAirlines,1E,Russia,Y
Severstal Air Company,D2,Russia,Y
REXAIR VIRTUEL,RR,France,Y
WestJet Encore,WR,Canada,Y
Air Pegasus,OP,India,Y
International Europe,9I,Spain,Y
V Air,ZV,Taiwan,Y
Naka Nihon Airlines Service,NV,Japan,N
Islands Express,X9,United States,N
Atlantic Air Services,X7,United States,N
Boutique Air (Priv),4B,United States,Y
VOLOTEA Airways,V7,Spain,Y
Aguilar Connect,3X,Chile,N
ROYAL BRITAIN,7V,United Kingdom,N
INAVIA Internacional,Z5,Argentina,Y
Liberty Airways,LE,United States,Y
Bassaka airlines,5B,Cambodia,Y
SkyBahamas Airlines,Q7,Bahamas,Y
UVT Aero,UW,Russia,Y
Silver Airways (3M),3M,United States,Y
ATA Airlines (Iran),I3,Iran,Y
VIA Líneas Aéreas,V1,Argentina,Y
Palair Macedonia,3D,Macedonia,N
Palair Macedonia (3D),3D,Macedonia,N
GermanXL,GX,Germany,Y
Fly France,FF,France,Y
Europe Jet,EX,France,Y
Deutsche Luftverkehrsgesellschaft (DLT),DW,Germany,N
Atlantic Air Cargo,K3,United States,N
World Scale Airlines,W3,United States,Y
All America US,AG,United States,Y
BudgetAir,1K,Germany,Y
Fly One,F5,Moldova,Y
Nordica,EE,Estonia,Y
Dummy,0E,France,N
All America BOPY,0P,Paraguay,Y
Air Andaman (2Y),2Y,Thailand,N
Jetgo Australia,JG,Australia,Y
Air Carnival,2S,India,Y
Svyaz Rossiya,7R,Russia,Y
